script,region,img_size,threads,mean,ci
mandelbrot_seq_sem,elephant,8192,.,76.665872111,0.019007199934436995
mandelbrot_pth,elephant,16,1,0.001257091,5.742358155935334e-5
mandelbrot_pth,elephant,16,2,0.001561862,0.000164375246058666
mandelbrot_pth,elephant,16,4,0.001012523,2.7864030620039947e-5
mandelbrot_pth,elephant,16,8,0.000929792,1.907523382649078e-5
mandelbrot_pth,elephant,16,16,0.00096982,3.047580364428483e-5
mandelbrot_pth,elephant,16,32,0.001276259,2.0645974964931965e-5
mandelbrot_pth,elephant,32,1,0.0021206,2.904738908825261e-5
mandelbrot_pth,elephant,32,2,0.001511972,2.089799798683118e-5
mandelbrot_pth,elephant,32,4,0.001385115,2.9961760680735117e-5
mandelbrot_pth,elephant,32,8,0.001787603,0.00024951435268147414
mandelbrot_pth,elephant,32,16,0.001715639,0.00011686371118225035
mandelbrot_pth,elephant,32,32,0.001536781,4.6006075159210886e-5
mandelbrot_pth,elephant,64,1,0.005704735,2.4750819697417857e-5
mandelbrot_pth,elephant,64,2,0.003868743,5.1314455538151475e-5
mandelbrot_pth,elephant,64,4,0.003330437,0.0003135559656501522
mandelbrot_pth,elephant,64,8,0.002995982,8.876120055854122e-5
mandelbrot_pth,elephant,64,16,0.002988319,6.778976257656817e-5
mandelbrot_pth,elephant,64,32,0.002906203,3.728656392232227e-5
mandelbrot_pth,elephant,128,1,0.020104012,5.2334502080120295e-5
mandelbrot_pth,elephant,128,2,0.012287464,0.00022771388778607682
mandelbrot_pth,elephant,128,4,0.008916251,0.0003570021857460449
mandelbrot_pth,elephant,128,8,0.008295995,0.00012443424554283062
mandelbrot_pth,elephant,128,16,0.00807776,0.00012867084122471852
mandelbrot_pth,elephant,128,32,0.008272773,0.0001343409670969183
mandelbrot_pth,elephant,256,1,0.077210076,0.00011963825225260434
mandelbrot_pth,elephant,256,2,0.045553721,0.001058793329780447
mandelbrot_pth,elephant,256,4,0.044696769,0.0007202869554847117
mandelbrot_pth,elephant,256,8,0.041743028,0.0010323166124312372
mandelbrot_pth,elephant,256,16,0.027988998,0.0001925601436451905
mandelbrot_pth,elephant,256,32,0.02746248,0.00018212920952973284
mandelbrot_pth,elephant,512,1,0.315154994,0.002011951416857313
mandelbrot_pth,elephant,512,2,0.188402536,0.002627394786439341
mandelbrot_pth,elephant,512,4,0.111644249,0.0011832827637547677
mandelbrot_pth,elephant,512,8,0.107111095,0.0004116064957973026
mandelbrot_pth,elephant,512,16,0.103613053,0.0002697241494760406
mandelbrot_pth,elephant,512,32,0.102783746,0.00026756530829963467
mandelbrot_pth,elephant,1024,1,1.211792251,0.00037553830928204043
mandelbrot_pth,elephant,1024,2,0.631998083,0.0010968061164241096
mandelbrot_pth,elephant,1024,4,0.433257125,0.000375949767464979
mandelbrot_pth,elephant,1024,8,0.425184084,0.0020555482391909534
mandelbrot_pth,elephant,1024,16,0.408310534,0.0007339131235972568
mandelbrot_pth,elephant,1024,32,0.404893429,0.0003513377661836443
mandelbrot_pth,elephant,2048,1,4.840632158,0.0015001274475649332
mandelbrot_pth,elephant,2048,2,2.496634869,0.0012379442589439018
